frame,line,hc,hasIRQ,status,pc,opcode,cycles,accepted
0,0,20,0,0x00,0x0002,0x31,10,0
0,0,31,0,0x00,0x0005,0xC3,10,0
0,0,42,0,0x00,0x0069,0x21,10,0
0,0,53,0,0x00,0x006C,0x36,7,0
0,0,60,0,0x00,0x006E,0x23,6,0
0,0,71,0,0x00,0x006F,0x36,7,0
0,0,78,0,0x00,0x0071,0x23,6,0
0,0,89,0,0x00,0x0072,0x36,7,0
0,0,94,0,0x00,0x0074,0xAF,4,0
0,0,105,0,0x00,0x0075,0x21,10,0
0,0,116,0,0x00,0x0078,0x11,10,0
0,0,128,0,0x00,0x007B,0x01,10,0
0,0,135,0,0x00,0x007E,0x77,7,0
0,0,176,0,0x00,0x007F,0xED,21,0
0,0,176,0,0x00,0x007F,0xED,21,0
0,0,175,0,0x00,0x007F,0xED,21,0
0,0,176,0,0x00,0x007F,0xED,21,0
0,0,176,0,0x00,0x007F,0xED,21,0
0,1,21,0,0x00,0x007F,0xED,21,0
0,1,44,0,0x00,0x007F,0xED,21,0
0,1,68,0,0x00,0x007F,0xED,21,0
0,1,92,0,0x00,0x007F,0xED,21,0
0,1,115,0,0x00,0x007F,0xED,21,0
0,1,139,0,0x00,0x007F,0xED,21,0
0,1,176,0,0x00,0x007F,0xED,21,0
0,1,176,0,0x00,0x007F,0xED,21,0
0,1,175,0,0x00,0x007F,0xED,21,0
0,1,176,0,0x00,0x007F,0xED,21,0
0,2,0,0,0x00,0x007F,0xED,21,0
0,2,24,0,0x00,0x007F,0xED,21,0
0,2,48,0,0x00,0x007F,0xED,21,0
0,2,71,0,0x00,0x007F,0xED,21,0
0,2,95,0,0x00,0x007F,0xED,21,0
0,2,119,0,0x00,0x007F,0xED,21,0
0,2,142,0,0x00,0x007F,0xED,21,0
0,2,176,0,0x00,0x007F,0xED,21,0
0,2,176,0,0x00,0x007F,0xED,21,0
0,2,176,0,0x00,0x007F,0xED,21,0
0,2,176,0,0x00,0x007F,0xED,21,0
0,3,0,0,0x00,0x007F,0xED,21,0
0,3,28,0,0x00,0x007F,0xED,21,0
0,3,51,0,0x00,0x007F,0xED,21,0
0,3,75,0,0x00,0x007F,0xED,21,0
0,3,98,0,0x00,0x007F,0xED,21,0
0,3,122,0,0x00,0x007F,0xED,21,0
0,3,145,0,0x00,0x007F,0xED,21,0
0,3,176,0,0x00,0x007F,0xED,21,0
0,3,176,0,0x00,0x007F,0xED,21,0
0,3,176,0,0x00,0x007F,0xED,21,0
0,3,176,0,0x00,0x007F,0xED,21,0
0,4,0,0,0x00,0x007F,0xED,21,0
0,4,31,0,0x00,0x007F,0xED,21,0
0,4,55,0,0x00,0x007F,0xED,21,0
0,4,78,0,0x00,0x007F,0xED,21,0
0,4,102,0,0x00,0x007F,0xED,21,0
0,4,125,0,0x00,0x007F,0xED,21,0
0,4,149,0,0x00,0x007F,0xED,21,0
0,4,176,0,0x00,0x007F,0xED,21,0
0,4,176,0,0x00,0x007F,0xED,21,0
0,4,176,0,0x00,0x007F,0xED,21,0
0,4,176,0,0x00,0x007F,0xED,21,0
0,5,0,0,0x00,0x007F,0xED,21,0
0,5,34,0,0x00,0x007F,0xED,21,0
0,5,58,0,0x00,0x007F,0xED,21,0
0,5,81,0,0x00,0x007F,0xED,21,0
0,5,105,0,0x00,0x007F,0xED,21,0
0,5,129,0,0x00,0x007F,0xED,21,0
0,5,152,0,0x00,0x007F,0xED,21,0
0,5,176,0,0x00,0x007F,0xED,21,0
0,5,175,0,0x00,0x007F,0xED,21,0
0,5,176,0,0x00,0x007F,0xED,21,0
0,5,176,0,0x00,0x007F,0xED,21,0
0,6,0,0,0x00,0x007F,0xED,21,0
0,6,38,0,0x00,0x007F,0xED,21,0
0,6,61,0,0x00,0x007F,0xED,21,0
0,6,85,0,0x00,0x007F,0xED,21,0
0,6,108,0,0x00,0x007F,0xED,21,0
0,6,132,0,0x00,0x007F,0xED,21,0
0,6,176,0,0x00,0x007F,0xED,21,0
0,6,176,0,0x00,0x007F,0xED,21,0
0,6,175,0,0x00,0x007F,0xED,21,0
0,6,176,0,0x00,0x007F,0xED,21,0
0,6,176,0,0x00,0x007F,0xED,21,0
0,7,17,0,0x00,0x007F,0xED,21,0
0,7,41,0,0x00,0x007F,0xED,21,0
0,7,65,0,0x00,0x007F,0xED,21,0
0,7,88,0,0x00,0x007F,0xED,21,0
0,7,112,0,0x00,0x007F,0xED,21,0
0,7,135,0,0x00,0x007F,0xED,21,0
0,7,176,0,0x00,0x007F,0xED,21,0
0,7,176,0,0x00,0x007F,0xED,21,0
0,7,175,0,0x00,0x007F,0xED,21,0
0,7,176,0,0x00,0x007F,0xED,21,0
0,7,176,0,0x00,0x007F,0xED,21,0
0,8,21,0,0x00,0x007F,0xED,21,0
0,8,44,0,0x00,0x007F,0xED,21,0
0,8,68,0,0x00,0x007F,0xED,21,0
0,8,92,0,0x00,0x007F,0xED,21,0
0,8,115,0,0x00,0x007F,0xED,21,0
0,8,139,0,0x00,0x007F,0xED,21,0
0,8,176,0,0x00,0x007F,0xED,21,0
0,8,176,0,0x00,0x007F,0xED,21,0
0,8,175,0,0x00,0x007F,0xED,21,0
0,8,176,0,0x00,0x007F,0xED,21,0
0,9,0,0,0x00,0x007F,0xED,21,0
0,9,24,0,0x00,0x007F,0xED,21,0
0,9,48,0,0x00,0x007F,0xED,21,0
0,9,71,0,0x00,0x007F,0xED,21,0
0,9,95,0,0x00,0x007F,0xED,21,0
0,9,119,0,0x00,0x007F,0xED,21,0
0,9,142,0,0x00,0x007F,0xED,21,0
0,9,176,0,0x00,0x007F,0xED,21,0
0,9,176,0,0x00,0x007F,0xED,21,0
0,9,176,0,0x00,0x007F,0xED,21,0
0,9,176,0,0x00,0x007F,0xED,21,0
0,10,0,0,0x00,0x007F,0xED,21,0
0,10,28,0,0x00,0x007F,0xED,21,0
0,10,51,0,0x00,0x007F,0xED,21,0
0,10,75,0,0x00,0x007F,0xED,21,0
0,10,98,0,0x00,0x007F,0xED,21,0
0,10,122,0,0x00,0x007F,0xED,21,0
0,10,145,0,0x00,0x007F,0xED,21,0
0,10,176,0,0x00,0x007F,0xED,21,0
0,10,176,0,0x00,0x007F,0xED,21,0
0,10,176,0,0x00,0x007F,0xED,21,0
0,10,176,0,0x00,0x007F,0xED,21,0
0,11,0,0,0x00,0x007F,0xED,21,0
0,11,31,0,0x00,0x007F,0xED,21,0
0,11,55,0,0x00,0x007F,0xED,21,0
0,11,78,0,0x00,0x007F,0xED,21,0
0,11,102,0,0x00,0x007F,0xED,21,0
0,11,125,0,0x00,0x007F,0xED,21,0
0,11,149,0,0x00,0x007F,0xED,21,0
0,11,176,0,0x00,0x007F,0xED,21,0
0,11,176,0,0x00,0x007F,0xED,21,0
0,11,176,0,0x00,0x007F,0xED,21,0
0,11,176,0,0x00,0x007F,0xED,21,0
0,12,0,0,0x00,0x007F,0xED,21,0
0,12,34,0,0x00,0x007F,0xED,21,0
0,12,58,0,0x00,0x007F,0xED,21,0
0,12,81,0,0x00,0x007F,0xED,21,0
0,12,105,0,0x00,0x007F,0xED,21,0
0,12,129,0,0x00,0x007F,0xED,21,0
0,12,152,0,0x00,0x007F,0xED,21,0
0,12,176,0,0x00,0x007F,0xED,21,0
0,12,175,0,0x00,0x007F,0xED,21,0
0,12,176,0,0x00,0x007F,0xED,21,0
0,12,176,0,0x00,0x007F,0xED,21,0
0,13,0,0,0x00,0x007F,0xED,21,0
0,13,38,0,0x00,0x007F,0xED,21,0
0,13,61,0,0x00,0x007F,0xED,21,0
0,13,85,0,0x00,0x007F,0xED,21,0
0,13,108,0,0x00,0x007F,0xED,21,0
0,13,132,0,0x00,0x007F,0xED,21,0
0,13,176,0,0x00,0x007F,0xED,21,0
0,13,176,0,0x00,0x007F,0xED,21,0
0,13,175,0,0x00,0x007F,0xED,21,0
0,13,176,0,0x00,0x007F,0xED,21,0
0,13,176,0,0x00,0x007F,0xED,21,0
0,14,17,0,0x00,0x007F,0xED,21,0
0,14,41,0,0x00,0x007F,0xED,21,0
0,14,65,0,0x00,0x007F,0xED,21,0
0,14,88,0,0x00,0x007F,0xED,21,0
0,14,112,0,0x00,0x007F,0xED,21,0
0,14,135,0,0x00,0x007F,0xED,21,0
0,14,176,0,0x00,0x007F,0xED,21,0
0,14,176,0,0x00,0x007F,0xED,21,0
0,14,175,0,0x00,0x007F,0xED,21,0
0,14,176,0,0x00,0x007F,0xED,21,0
0,14,176,0,0x00,0x007F,0xED,21,0
0,15,21,0,0x00,0x007F,0xED,21,0
0,15,44,0,0x00,0x007F,0xED,21,0
0,15,68,0,0x00,0x007F,0xED,21,0
0,15,92,0,0x00,0x007F,0xED,21,0
0,15,115,0,0x00,0x007F,0xED,21,0
0,15,139,0,0x00,0x007F,0xED,21,0
0,15,176,0,0x00,0x007F,0xED,21,0
0,15,176,0,0x00,0x007F,0xED,21,0
0,15,175,0,0x00,0x007F,0xED,21,0
0,15,176,0,0x00,0x007F,0xED,21,0
0,16,0,0,0x00,0x007F,0xED,21,0
0,16,24,0,0x00,0x007F,0xED,21,0
0,16,48,0,0x00,0x007F,0xED,21,0
0,16,71,0,0x00,0x007F,0xED,21,0
0,16,95,0,0x00,0x007F,0xED,21,0
0,16,119,0,0x00,0x007F,0xED,21,0
0,16,142,0,0x00,0x007F,0xED,21,0
0,16,176,0,0x00,0x007F,0xED,21,0
0,16,176,0,0x00,0x007F,0xED,21,0
0,16,176,0,0x00,0x007F,0xED,21,0
0,16,176,0,0x00,0x007F,0xED,21,0
0,17,0,0,0x00,0x007F,0xED,21,0
0,17,28,0,0x00,0x007F,0xED,21,0
0,17,51,0,0x00,0x007F,0xED,21,0
0,17,75,0,0x00,0x007F,0xED,21,0
0,17,98,0,0x00,0x007F,0xED,21,0
0,17,122,0,0x00,0x007F,0xED,21,0
0,17,145,0,0x00,0x007F,0xED,21,0
0,17,176,0,0x00,0x007F,0xED,21,0
0,17,176,0,0x00,0x007F,0xED,21,0
0,17,176,0,0x00,0x007F,0xED,21,0
0,17,176,0,0x00,0x007F,0xED,21,0
0,18,0,0,0x00,0x007F,0xED,21,0
0,18,31,0,0x00,0x007F,0xED,21,0
0,18,55,0,0x00,0x007F,0xED,21,0
0,18,78,0,0x00,0x007F,0xED,21,0
0,18,102,0,0x00,0x007F,0xED,21,0
0,18,125,0,0x00,0x007F,0xED,21,0
0,18,149,0,0x00,0x007F,0xED,21,0
0,18,176,0,0x00,0x007F,0xED,21,0
0,18,176,0,0x00,0x007F,0xED,21,0
0,18,176,0,0x00,0x007F,0xED,21,0
0,18,176,0,0x00,0x007F,0xED,21,0
0,19,0,0,0x00,0x007F,0xED,21,0
