frame,line,hc,hasIRQ,status,pc,opcode,cycles,accepted
0,0,0,0,0x00,0x0000,0xF3,4,0
0,0,24,0,0x00,0x0003,0xC3,10,0
0,0,35,0,0x00,0x0081,0x21,10,0
0,0,53,0,0x00,0x0084,0x22,16,0
0,0,65,0,0x00,0x0087,0x21,10,0
0,0,83,0,0x00,0x008A,0x22,16,0
0,0,94,0,0x00,0x008D,0x21,10,0
0,0,105,0,0x00,0x0090,0x11,10,0
0,0,116,0,0x00,0x0093,0x01,10,0
0,0,124,0,0x00,0x0096,0x75,7,0
0,0,148,0,0x00,0x0097,0xED,21,0
0,0,176,0,0x00,0x0097,0xED,21,0
0,0,176,0,0x00,0x0097,0xED,21,0
0,0,176,0,0x00,0x0097,0xED,21,0
0,0,176,0,0x00,0x0097,0xED,21,0
0,1,0,0,0x00,0x0097,0xED,21,0
0,1,33,0,0x00,0x0097,0xED,21,0
0,1,57,0,0x00,0x0097,0xED,21,0
0,1,80,0,0x00,0x0097,0xED,21,0
0,1,104,0,0x00,0x0097,0xED,21,0
0,1,128,0,0x00,0x0097,0xED,21,0
0,1,151,0,0x00,0x0097,0xED,21,0
0,1,176,0,0x00,0x0097,0xED,21,0
0,1,175,0,0x00,0x0097,0xED,21,0
0,1,176,0,0x00,0x0097,0xED,21,0
0,1,176,0,0x00,0x0097,0xED,21,0
0,2,0,0,0x00,0x0097,0xED,21,0
0,2,37,0,0x00,0x0097,0xED,21,0
0,2,60,0,0x00,0x0097,0xED,21,0
0,2,84,0,0x00,0x0097,0xED,21,0
0,2,107,0,0x00,0x0097,0xED,21,0
0,2,131,0,0x00,0x0097,0xED,21,0
0,2,154,0,0x00,0x0097,0xED,21,0
0,2,176,0,0x00,0x0097,0xED,21,0
0,2,175,0,0x00,0x0097,0xED,21,0
0,2,176,0,0x00,0x0097,0xED,21,0
0,2,176,0,0x00,0x0097,0xED,21,0
0,3,0,0,0x00,0x0097,0xED,21,0
0,3,40,0,0x00,0x0097,0xED,21,0
0,3,64,0,0x00,0x0097,0xED,21,0
0,3,87,0,0x00,0x0097,0xED,21,0
0,3,111,0,0x00,0x0097,0xED,21,0
0,3,134,0,0x00,0x0097,0xED,21,0
0,3,176,0,0x00,0x0097,0xED,21,0
0,3,176,0,0x00,0x0097,0xED,21,0
0,3,175,0,0x00,0x0097,0xED,21,0
0,3,176,0,0x00,0x0097,0xED,21,0
0,3,176,0,0x00,0x0097,0xED,21,0
0,4,20,0,0x00,0x0097,0xED,21,0
0,4,43,0,0x00,0x0097,0xED,21,0
0,4,67,0,0x00,0x0097,0xED,21,0
0,4,90,0,0x00,0x0097,0xED,21,0
0,4,114,0,0x00,0x0097,0xED,21,0
0,4,138,0,0x00,0x0097,0xED,21,0
0,4,176,0,0x00,0x0097,0xED,21,0
0,4,176,0,0x00,0x0097,0xED,21,0
0,4,175,0,0x00,0x0097,0xED,21,0
0,4,176,0,0x00,0x0097,0xED,21,0
0,5,0,0,0x00,0x0097,0xED,21,0
0,5,23,0,0x00,0x0097,0xED,21,0
0,5,47,0,0x00,0x0097,0xED,21,0
0,5,70,0,0x00,0x0097,0xED,21,0
0,5,94,0,0x00,0x0097,0xED,21,0
0,5,117,0,0x00,0x0097,0xED,21,0
0,5,141,0,0x00,0x0097,0xED,21,0
0,5,176,0,0x00,0x0097,0xED,21,0
0,5,176,0,0x00,0x0097,0xED,21,0
0,5,176,0,0x00,0x0097,0xED,21,0
0,5,176,0,0x00,0x0097,0xED,21,0
0,6,0,0,0x00,0x0097,0xED,21,0
0,6,26,0,0x00,0x0097,0xED,21,0
0,6,50,0,0x00,0x0097,0xED,21,0
0,6,74,0,0x00,0x0097,0xED,21,0
0,6,97,0,0x00,0x0097,0xED,21,0
0,6,121,0,0x00,0x0097,0xED,21,0
0,6,144,0,0x00,0x0097,0xED,21,0
0,6,176,0,0x00,0x0097,0xED,21,0
0,6,176,0,0x00,0x0097,0xED,21,0
0,6,176,0,0x00,0x0097,0xED,21,0
0,6,176,0,0x00,0x0097,0xED,21,0
0,7,0,0,0x00,0x0097,0xED,21,0
0,7,30,0,0x00,0x0097,0xED,21,0
0,7,53,0,0x00,0x0097,0xED,21,0
0,7,77,0,0x00,0x0097,0xED,21,0
0,7,101,0,0x00,0x0097,0xED,21,0
0,7,124,0,0x00,0x0097,0xED,21,0
0,7,148,0,0x00,0x0097,0xED,21,0
0,7,176,0,0x00,0x0097,0xED,21,0
0,7,176,0,0x00,0x0097,0xED,21,0
0,7,176,0,0x00,0x0097,0xED,21,0
0,7,176,0,0x00,0x0097,0xED,21,0
0,8,0,0,0x00,0x0097,0xED,21,0
0,8,33,0,0x00,0x0097,0xED,21,0
0,8,57,0,0x00,0x0097,0xED,21,0
0,8,80,0,0x00,0x0097,0xED,21,0
0,8,104,0,0x00,0x0097,0xED,21,0
0,8,128,0,0x00,0x0097,0xED,21,0
0,8,151,0,0x00,0x0097,0xED,21,0
0,8,176,0,0x00,0x0097,0xED,21,0
0,8,175,0,0x00,0x0097,0xED,21,0
0,8,176,0,0x00,0x0097,0xED,21,0
0,8,176,0,0x00,0x0097,0xED,21,0
0,9,0,0,0x00,0x0097,0xED,21,0
0,9,37,0,0x00,0x0097,0xED,21,0
0,9,60,0,0x00,0x0097,0xED,21,0
0,9,84,0,0x00,0x0097,0xED,21,0
0,9,107,0,0x00,0x0097,0xED,21,0
0,9,131,0,0x00,0x0097,0xED,21,0
0,9,154,0,0x00,0x0097,0xED,21,0
0,9,176,0,0x00,0x0097,0xED,21,0
0,9,175,0,0x00,0x0097,0xED,21,0
0,9,176,0,0x00,0x0097,0xED,21,0
0,9,176,0,0x00,0x0097,0xED,21,0
0,10,0,0,0x00,0x0097,0xED,21,0
0,10,40,0,0x00,0x0097,0xED,21,0
0,10,64,0,0x00,0x0097,0xED,21,0
0,10,87,0,0x00,0x0097,0xED,21,0
0,10,111,0,0x00,0x0097,0xED,21,0
0,10,134,0,0x00,0x0097,0xED,21,0
0,10,176,0,0x00,0x0097,0xED,21,0
0,10,176,0,0x00,0x0097,0xED,21,0
0,10,175,0,0x00,0x0097,0xED,21,0
0,10,176,0,0x00,0x0097,0xED,21,0
0,10,176,0,0x00,0x0097,0xED,21,0
0,11,20,0,0x00,0x0097,0xED,21,0
0,11,43,0,0x00,0x0097,0xED,21,0
0,11,67,0,0x00,0x0097,0xED,21,0
0,11,90,0,0x00,0x0097,0xED,21,0
0,11,114,0,0x00,0x0097,0xED,21,0
0,11,138,0,0x00,0x0097,0xED,21,0
0,11,176,0,0x00,0x0097,0xED,21,0
0,11,176,0,0x00,0x0097,0xED,21,0
0,11,175,0,0x00,0x0097,0xED,21,0
0,11,176,0,0x00,0x0097,0xED,21,0
0,12,0,0,0x00,0x0097,0xED,21,0
0,12,23,0,0x00,0x0097,0xED,21,0
0,12,47,0,0x00,0x0097,0xED,21,0
0,12,70,0,0x00,0x0097,0xED,21,0
0,12,94,0,0x00,0x0097,0xED,21,0
0,12,117,0,0x00,0x0097,0xED,21,0
0,12,141,0,0x00,0x0097,0xED,21,0
0,12,176,0,0x00,0x0097,0xED,21,0
0,12,176,0,0x00,0x0097,0xED,21,0
0,12,176,0,0x00,0x0097,0xED,21,0
0,12,176,0,0x00,0x0097,0xED,21,0
0,13,0,0,0x00,0x0097,0xED,21,0
0,13,26,0,0x00,0x0097,0xED,21,0
0,13,50,0,0x00,0x0097,0xED,21,0
0,13,74,0,0x00,0x0097,0xED,21,0
0,13,97,0,0x00,0x0097,0xED,21,0
0,13,121,0,0x00,0x0097,0xED,21,0
0,13,144,0,0x00,0x0097,0xED,21,0
0,13,176,0,0x00,0x0097,0xED,21,0
0,13,176,0,0x00,0x0097,0xED,21,0
0,13,176,0,0x00,0x0097,0xED,21,0
0,13,176,0,0x00,0x0097,0xED,21,0
0,14,0,0,0x00,0x0097,0xED,21,0
0,14,30,0,0x00,0x0097,0xED,21,0
0,14,53,0,0x00,0x0097,0xED,21,0
0,14,77,0,0x00,0x0097,0xED,21,0
0,14,101,0,0x00,0x0097,0xED,21,0
0,14,124,0,0x00,0x0097,0xED,21,0
0,14,148,0,0x00,0x0097,0xED,21,0
0,14,176,0,0x00,0x0097,0xED,21,0
0,14,176,0,0x00,0x0097,0xED,21,0
0,14,176,0,0x00,0x0097,0xED,21,0
0,14,176,0,0x00,0x0097,0xED,21,0
0,15,0,0,0x00,0x0097,0xED,21,0
0,15,33,0,0x00,0x0097,0xED,21,0
0,15,57,0,0x00,0x0097,0xED,21,0
0,15,80,0,0x00,0x0097,0xED,21,0
0,15,104,0,0x00,0x0097,0xED,21,0
0,15,128,0,0x00,0x0097,0xED,21,0
0,15,151,0,0x00,0x0097,0xED,21,0
0,15,176,0,0x00,0x0097,0xED,21,0
0,15,175,0,0x00,0x0097,0xED,21,0
0,15,176,0,0x00,0x0097,0xED,21,0
0,15,176,0,0x00,0x0097,0xED,21,0
0,16,0,0,0x00,0x0097,0xED,21,0
0,16,37,0,0x00,0x0097,0xED,21,0
0,16,60,0,0x00,0x0097,0xED,21,0
0,16,84,0,0x00,0x0097,0xED,21,0
0,16,107,0,0x00,0x0097,0xED,21,0
0,16,131,0,0x00,0x0097,0xED,21,0
0,16,154,0,0x00,0x0097,0xED,21,0
0,16,176,0,0x00,0x0097,0xED,21,0
0,16,175,0,0x00,0x0097,0xED,21,0
0,16,176,0,0x00,0x0097,0xED,21,0
0,16,176,0,0x00,0x0097,0xED,21,0
0,17,0,0,0x00,0x0097,0xED,21,0
0,17,40,0,0x00,0x0097,0xED,21,0
0,17,64,0,0x00,0x0097,0xED,21,0
0,17,87,0,0x00,0x0097,0xED,21,0
0,17,111,0,0x00,0x0097,0xED,21,0
0,17,134,0,0x00,0x0097,0xED,21,0
0,17,176,0,0x00,0x0097,0xED,21,0
0,17,176,0,0x00,0x0097,0xED,21,0
0,17,175,0,0x00,0x0097,0xED,21,0
0,17,176,0,0x00,0x0097,0xED,21,0
0,17,176,0,0x00,0x0097,0xED,21,0
0,18,20,0,0x00,0x0097,0xED,21,0
0,18,43,0,0x00,0x0097,0xED,21,0
0,18,67,0,0x00,0x0097,0xED,21,0
0,18,90,0,0x00,0x0097,0xED,21,0
0,18,114,0,0x00,0x0097,0xED,21,0
0,18,138,0,0x00,0x0097,0xED,21,0
0,18,176,0,0x00,0x0097,0xED,21,0
0,18,176,0,0x00,0x0097,0xED,21,0
0,18,175,0,0x00,0x0097,0xED,21,0
0,18,176,0,0x00,0x0097,0xED,21,0
0,19,0,0,0x00,0x0097,0xED,21,0
0,19,23,0,0x00,0x0097,0xED,21,0
0,19,47,0,0x00,0x0097,0xED,21,0
0,19,70,0,0x00,0x0097,0xED,21,0
0,19,94,0,0x00,0x0097,0xED,21,0
0,19,117,0,0x00,0x0097,0xED,21,0
0,19,141,0,0x00,0x0097,0xED,21,0
0,19,176,0,0x00,0x0097,0xED,21,0
0,19,176,0,0x00,0x0097,0xED,21,0
0,19,176,0,0x00,0x0097,0xED,21,0
0,19,176,0,0x00,0x0097,0xED,21,0
0,20,0,0,0x00,0x0097,0xED,21,0
0,20,26,0,0x00,0x0097,0xED,21,0
0,20,50,0,0x00,0x0097,0xED,21,0
0,20,74,0,0x00,0x0097,0xED,21,0
0,20,97,0,0x00,0x0097,0xED,21,0
0,20,121,0,0x00,0x0097,0xED,21,0
0,20,144,0,0x00,0x0097,0xED,21,0
0,20,176,0,0x00,0x0097,0xED,21,0
0,20,176,0,0x00,0x0097,0xED,21,0
0,20,176,0,0x00,0x0097,0xED,21,0
0,20,176,0,0x00,0x0097,0xED,21,0
0,21,0,0,0x00,0x0097,0xED,21,0
0,21,30,0,0x00,0x0097,0xED,21,0
0,21,53,0,0x00,0x0097,0xED,21,0
0,21,77,0,0x00,0x0097,0xED,21,0
0,21,101,0,0x00,0x0097,0xED,21,0
0,21,124,0,0x00,0x0097,0xED,21,0
0,21,148,0,0x00,0x0097,0xED,21,0
0,21,176,0,0x00,0x0097,0xED,21,0
0,21,176,0,0x00,0x0097,0xED,21,0
0,21,176,0,0x00,0x0097,0xED,21,0
0,21,176,0,0x00,0x0097,0xED,21,0
0,22,0,0,0x00,0x0097,0xED,21,0
0,22,33,0,0x00,0x0097,0xED,21,0
0,22,57,0,0x00,0x0097,0xED,21,0
0,22,80,0,0x00,0x0097,0xED,21,0
0,22,104,0,0x00,0x0097,0xED,21,0
0,22,128,0,0x00,0x0097,0xED,21,0
0,22,151,0,0x00,0x0097,0xED,21,0
0,22,176,0,0x00,0x0097,0xED,21,0
0,22,175,0,0x00,0x0097,0xED,21,0
